t,Q_diff_mean,Q_diff_sd,n_runs
3431,73.6,56.68666313850003,10
3432,73.8,56.695678847686445,10
3433,73.7,57.12374481966516,10
3434,73.4,56.74935144024898,10
3435,73.2,57.323254928131526,10
3436,73.3,57.25391786691205,10
3437,73.1,57.27603726205615,10
3438,73.3,57.11596390969282,10
3439,73.3,57.32955413901086,10
3440,73.3,57.49985507228112,10
3441,73.3,57.47279549684548,10
3442,73.3,58.03456824265268,10
3443,73.5,58.349997619727645,10
3444,73.6,58.62157357909193,10
3445,73.9,58.32752352020442,10
3446,73.7,58.45235476674809,10
3447,74.0,58.410425249075,10
3448,74.4,58.292747786019184,10
3449,73.9,58.13671626242557,10
3450,74.3,57.87928049925216,10
3451,74.2,57.767349486251035,10
3452,74.6,57.93329497505443,10
3453,74.6,57.735411817859045,10
3454,74.7,58.2142594215541,10
3455,74.7,58.25623476409104,10
3456,74.7,58.46565943640193,10
3457,74.3,58.50365610607406,10
3458,74.5,58.51922760939348,10
3459,75.0,58.73480891071135,10
3460,75.0,58.717780763392085,10
3461,75.1,58.665624990752086,10
3462,75.0,58.516854172299986,10
3463,75.2,58.624606134663665,10
3464,75.1,58.648576756435915,10
3465,74.9,58.43980758961404,10
3466,75.2,58.58289473520028,10
3467,75.2,58.84405001546225,10
3468,75.2,58.9478111929904,10
3469,75.1,58.739443496020826,10
3470,75.0,58.76506898943737,10
3471,75.4,59.28312482392345,10
3472,75.2,59.54419460460533,10
3473,75.2,59.17920055034351,10
3474,75.3,59.24909750836341,10
3475,75.3,59.22846537865987,10
3476,75.6,58.99378498339182,10
3477,75.5,58.69743511337517,10
3478,75.8,58.8138305729755,10
3479,75.9,58.907554693774216,10
3480,75.8,59.12472691973582,10
3481,75.9,59.46511582432174,10
3482,75.8,59.42464883269306,10
3483,76.1,59.3828445110389,10
3484,76.0,59.413803110051795,10
3485,76.2,59.317975540490444,10
3486,76.3,59.177792381189,10
3487,76.3,59.072554258865985,10
3488,76.4,59.01073348694005,10
3489,76.6,59.140510650483904,10
3490,76.6,59.0220297854962,10
3491,76.6,58.995668390898736,10
3492,76.5,59.37124257116777,10
3493,76.4,59.226870778576696,10
3494,76.0,59.565090447341724,10
3495,75.8,59.65977613844096,10
3496,75.7,59.53906280753838,10
3497,75.4,59.490802276953325,10
3498,75.4,59.45904285958341,10
3499,75.2,59.549792424304705,10
3500,75.4,59.53561025880971,10
3501,75.6,59.69031188839051,10
3502,75.6,59.74984890729385,10
3503,75.9,60.02675329476942,10
3504,76.0,60.02592032706463,10
3505,76.1,59.83393685860893,10
3506,76.0,59.76992926584776,10
3507,76.0,59.55203140485171,10
3508,76.1,59.178543408907935,10
3509,76.2,59.015628815123584,10
3510,75.8,59.30298849505348,10
3511,75.7,59.33904466893802,10
3512,75.8,59.22049194887414,10
3513,75.6,59.19309269012916,10
3514,75.7,59.01986482909331,10
3515,75.4,58.980599446861426,10
3516,75.3,59.21157919791627,10
3517,75.2,59.12096826751816,10
3518,75.3,59.28096940277995,10
3519,75.1,59.351027324254844,10
3520,75.0,59.40258131316068,10
3521,75.0,59.45306271897745,10
3522,75.2,59.13412250506847,10
3523,75.2,59.08524914618425,10
3524,74.9,58.9188707744245,10
3525,74.7,58.76327273239827,10
3526,74.8,58.670075658531225,10
3527,74.8,58.745779990282415,10
3528,74.6,59.1592953154635,10
3529,74.5,59.28696690204723,10
3530,74.3,59.22471331012643,10
3531,74.4,59.326216801680516,10
3532,74.6,59.022029785496194,10
3533,74.7,59.038687880631855,10
3534,74.8,59.23925125192662,10
3535,74.7,59.54466110968025,10
3536,74.8,59.491922887807966,10
3537,74.7,59.419506710993296,10
3538,74.8,59.39659548791964,10
3539,75.0,59.20397884526944,10
3540,75.5,59.22508852767644,10
3541,75.4,59.213737144911455,10
3542,75.6,59.204354194227605,10
3543,75.8,59.18107805709524,10
3544,76.3,59.31095083446975,10
3545,76.6,59.559867173943374,10
3546,76.5,59.54876619675302,10
3547,76.5,59.93561360141212,10
3548,76.7,59.840621654524945,10
3549,77.0,59.9666574022598,10
3550,77.2,59.934779367056805,10
3551,77.3,59.74956996590947,10
3552,77.0,59.87950864490753,10
3553,76.9,60.04896150457373,10
3554,76.8,60.175299473011904,10
3555,76.9,60.01934873207325,10
3556,76.9,59.904460972822754,10
3557,76.6,59.81675722107012,10
3558,76.6,59.92625097197016,10
3559,76.8,60.39462816435839,10
3560,76.6,60.367761815944995,10
3561,76.6,60.6358896290894,10
3562,76.5,60.70557360462601,10
3563,76.4,60.53135092201762,10
3564,76.5,60.273911806389705,10
3565,76.5,60.67078740583844,10
3566,76.7,60.26432517575293,10
3567,76.8,60.84734998338054,10
3568,76.9,60.48406585392737,10
3569,76.5,60.527771403803655,10
3570,76.7,60.218214298776196,10
3571,76.5,60.45613653256751,10
3572,76.5,60.643310522357794,10
3573,76.7,60.5145528869801,10
3574,77.1,60.371902957142794,10
3575,77.5,60.27759856604184,10
3576,77.5,60.098530209426364,10
3577,77.6,60.00777727372789,10
3578,77.4,60.009628857005566,10
3579,77.2,60.116183807320596,10
3580,77.6,60.1113781057944,10
3581,77.6,59.900287515540725,10
3582,77.8,59.960727888251064,10
3583,77.9,60.15064421932652,10
3584,77.8,59.77141643145344,10
3585,78.0,60.31215097768903,10
3586,77.9,60.33139960068702,10
3587,77.9,60.33139960068702,10
3588,77.9,59.89518622838845,10
3589,77.8,59.873570500216914,10
3590,77.6,59.73497021566736,10
3591,77.7,59.75700795722624,10
3592,77.5,59.64198744732327,10
3593,77.4,59.41978720183295,10
3594,77.7,59.087599751931414,10
3595,77.5,59.06352512337881,10
3596,77.4,59.2249947235118,10
3597,77.4,59.25875462748099,10
3598,77.7,59.56518371591841,10
3599,77.4,59.3037379372779,10
3600,77.3,59.19093399049104,10
3601,77.7,58.92000226295537,10
3602,77.7,58.452354766748094,10
3603,77.7,58.545423960089884,10
3604,77.8,58.453780411915574,10
3605,77.7,58.080499691759236,10
3606,77.6,57.866129029760486,10
3607,77.6,58.136238459520435,10
3608,77.6,58.141971835231814,10
3609,77.6,58.141971835231814,10
3610,77.8,58.118270219728096,10
3611,78.0,57.68496819411064,10
3612,78.3,57.72357500286266,10
3613,78.5,57.68930191600134,10
3614,78.0,57.771580864258475,10
3615,78.1,57.79167567892263,10
3616,78.1,57.89924198314018,10
3617,77.9,57.99511473678911,10
3618,77.8,58.01685578825826,10
3619,77.7,57.60796627010693,10
3620,78.2,57.780811886146275,10
3621,77.8,57.9306098324155,10
3622,77.6,57.94096612549325,10
3623,77.3,57.84471549857524,10
3624,77.1,58.26462620378395,10
3625,77.4,58.416512125330534,10
3626,77.4,58.66325747670153,10
3627,77.4,58.66325747670153,10
3628,77.0,58.1492332996174,10
3629,77.1,57.8128205696818,10
3630,77.0,57.856143436400366,10
3631,76.9,57.908836401134266,10
3632,76.8,57.953621303782406,10
3633,76.8,58.14120741780308,10
3634,77.3,58.2695842137598,10
3635,77.4,58.387974408738955,10
3636,77.5,58.159264094381385,10
3637,77.3,58.20662428891673,10
3638,77.2,58.17559625822498,10
3639,77.0,58.10909280540066,10
3640,76.8,57.80003844673847,10
3641,77.1,57.72049510837165,10
3642,77.4,57.735411817859045,10
3643,77.3,57.55586658002621,10
3644,77.1,57.45229905466505,10
3645,77.2,57.91718225190172,10
3646,77.0,57.87534497137408,10
3647,77.1,57.860848401814664,10
3648,77.0,58.40091323486874,10
3649,77.1,58.62962845979269,10
3650,77.3,58.821859126613056,10
3651,77.2,58.62650140223845,10
3652,77.4,58.57037552286043,10
3653,77.2,58.768472273263434,10
3654,77.6,58.562786818934775,10
3655,77.7,58.37817324232672,10
3656,77.6,57.958222501691296,10
3657,77.4,58.09991394141647,10
3658,77.4,57.56773787847187,10
3659,77.6,57.59089434199742,10
3660,77.7,57.60217974270689,10
3661,78.0,57.66570326748243,10
3662,77.9,57.7493626708459,10
3663,77.9,58.00660881888086,10
3664,78.3,57.72357500286267,10
3665,78.2,57.9651236137348,10
3666,78.1,57.56049957315443,10
3667,77.4,57.78158107140294,10
3668,77.2,57.88455944569521,10
3669,77.1,57.89732290874942,10
3670,77.3,57.71587495847414,10
3671,77.4,57.84500362558935,10
3672,77.7,57.65038305741486,10
3673,77.9,58.19593342035736,10
3674,77.8,58.208055952572224,10
3675,77.7,57.90231236986808,10
3676,77.7,58.07093363579867,10
3677,77.5,58.1974608075339,10
3678,77.4,58.374652033224145,10
3679,77.4,58.2145457195479,10
3680,77.0,58.065097567777805,10
3681,77.4,57.852686483285574,10
