t,cum_regret_mean,cum_regret_sd,n_runs
1,0.0,0.0,10
2,0.17497916537089403,0.3688841253246772,10
3,0.47944505728295894,0.5986397113918663,10
4,0.9596503432918668,0.7011218244587812,10
5,1.134592636798612,0.6754225424629767,10
6,1.505078896231659,0.7242305392575588,10
7,1.8106266920010163,0.8518331568244911,10
8,2.2912579597957095,0.6577260448281822,10
9,2.6630637688189642,0.8384175716712667,10
10,2.9684194349113437,0.8703928502980758,10
11,3.1211211016814673,1.027217083151287,10
12,3.4051721009344313,1.0033440322694094,10
13,3.5585382803217,1.155197490122638,10
14,3.7987425913553237,1.1951953651606433,10
15,4.17054173349726,1.399565079245744,10
16,4.476155938364782,1.6220463881295,10
17,4.912425425870535,1.8168737798867367,10
18,5.15312260062927,2.067107540089598,10
19,5.547538022345306,2.243125175755658,10
20,5.788031233538977,2.320890800660642,10
21,5.940662918437595,2.5647316418096153,10
22,6.378826938439512,2.9355457440940285,10
23,6.816156211659513,3.2228341257671427,10
24,7.231034316005919,3.390734043816356,10
25,7.624837622796482,3.5754400870423457,10
26,8.105111092252809,3.710359217497206,10
27,8.737920393741865,3.747508898991583,10
28,9.152132702523307,3.7955018805423917,10
29,9.45755457096837,3.9650928377303036,10
30,9.80594115113735,4.156389593810836,10
31,10.154249132937217,4.249026372605026,10
32,10.482032479948671,4.251131744083715,10
33,11.006545991734622,4.355701962738545,10
34,11.22459256232968,4.448743920941865,10
35,11.551706090555609,4.722821056405254,10
36,12.14047463460285,4.949253710213532,10
37,12.817476740495422,4.941762900553152,10
38,13.363196715890709,5.0711032418072435,10
39,13.779372940252873,5.263874131705864,10
40,14.174434797194664,5.219693067038597,10
41,14.676770311133598,5.235695080088477,10
42,15.026035552452452,5.3397046408240785,10
43,15.201563358088233,5.230113424573092,10
44,15.812294983874304,5.263731184431376,10
45,16.401835095635462,5.143603862562084,10
46,16.83909954862384,5.127401684462262,10
47,17.14603699220805,5.273718189604307,10
48,17.429341240555026,5.515501702124841,10
49,17.58389433802846,5.4667623734945465,10
50,17.77955868174841,5.490223036386157,10
51,18.0207268197563,5.577331562874125,10
52,18.39228009844757,5.66313129381894,10
53,18.806872526803154,5.693887624919404,10
54,19.13530712565912,5.834323410662155,10
55,19.615318432709344,6.047391102327937,10
56,20.009454275054956,6.0253255706616775,10
57,20.27171043787408,6.1927658255409215,10
58,20.53431098339355,6.328607375288125,10
59,20.970429990853063,6.466761197754502,10
60,21.276302438882006,6.449154297067579,10
61,21.56048648457196,6.399257348760455,10
62,21.90924204495943,6.681615626999396,10
63,22.06246253568012,6.661157658158473,10
64,22.565403820056876,6.717641338556394,10
65,22.914965094884465,6.904433033184305,10
66,23.242836181087256,6.821526485663223,10
67,23.526584299292807,6.820735329375939,10
68,23.897036039143984,7.0875808779957294,10
69,24.2454619499149,7.359082198749699,10
70,24.5731771721307,7.296300299051082,10
71,24.727013006440036,7.294707695541655,10
72,25.162964948277967,7.368660801573997,10
73,25.512486597559008,7.560875162523843,10
74,25.841155632887318,7.553214285443596,10
75,26.212433002978294,7.572774658385486,10
76,26.671278781941766,7.736031855175592,10
77,27.21683748673275,7.7731051726264,10
78,27.632124396625624,7.670054344304175,10
79,28.112623755280794,7.601560006219102,10
80,28.354530166741178,7.464385563050962,10
81,28.92251017840361,7.438520270491774,10
82,29.468810300084886,7.3327059714210545,10
83,29.86285768570888,7.008646018349379,10
84,30.125522464676806,7.160308855429701,10
85,30.301369512897292,7.0334248571770015,10
86,30.93443102262497,7.146542521304217,10
87,31.219233690971187,7.229647195764678,10
88,31.787224970812407,7.425187157887324,10
89,32.09398136744279,7.26203544883892,10
90,32.31385148986293,7.297173008394677,10
91,32.70830906824871,7.301130314458737,10
92,32.99318322111082,7.200350744939603,10
93,33.364909919357345,7.51538126684167,10
94,33.69342151180252,7.744608751741622,10
95,34.15232721138307,7.835311992070998,10
96,34.56627209250138,7.776606041524684,10
97,34.85057637743172,7.762887936133083,10
98,35.243875071506416,7.912345342811468,10
99,35.70149160688397,8.157732932444338,10
100,36.18080262618039,8.275940636837385,10
101,36.55199401531259,8.346235913979635,10
102,36.96716088899328,8.569626610147766,10
103,37.31656503100735,8.806430624596324,10
104,37.57841109607772,8.926553786013017,10
105,37.75337506917331,8.997750329925388,10
106,38.16848890040171,9.10106386461755,10
107,38.69341533488596,9.116628646513758,10
108,38.99868953766351,9.31546691462544,10
109,39.282867131400025,9.389686280898491,10
110,39.78504141955299,9.481715687543435,10
111,40.15597055953487,9.598927077302346,10
112,40.50483018123573,9.785509623212972,10
113,41.09453858182826,9.851596311989363,10
114,41.20435726629058,9.859464607574264,10
115,41.641254988044736,9.880838315805947,10
116,42.121724936850924,10.031525053272286,10
117,42.71108324238751,10.042331826599353,10
118,43.19177227360531,10.00568639825954,10
